YEAR;MONTH;DAY;HOUR;TH;RAIN;RADIATION;WIND;RH
2017;1;17;8;-0.4;0;57;22;63
2017;1;17;9;0.2;0;106;25;61
2017;1;17;10;1;0;140;25;57
2017;1;17;11;1.8;0;156;25;54
2017;1;17;12;2.1;0;153;25;54
2017;1;17;13;2.1;0;130;26;54
2017;1;17;14;2.1;0;89;25;55
2017;1;17;15;1.4;0;39;22;57
2017;1;17;16;1;0;3;21;58
2017;1;17;17;0.9;0;0;20;58
2017;1;17;18;0.5;0;0;22;59
2017;1;17;19;0.2;0;0;23;60
2017;1;17;20;-0.3;0;0;23;62
2017;1;17;21;-0.5;0;0;21;63
2017;1;17;22;-0.8;0;0;20;64
2017;1;17;23;-0.9;0;0;20;64
2017;1;18;0;-1.2;0;0;20;66
2017;1;18;1;-1.4;0;0;21;66
2017;1;18;2;-1.5;0;0;20;67
2017;1;18;3;-1.6;0;0;20;67
2017;1;18;4;-1.8;0;0;19;67
2017;1;18;5;-1.8;0;0;20;67
2017;1;18;6;-1.8;0;0;19;67
2017;1;18;7;-1.6;0;4;19;66
2017;1;18;8;-0.5;0;48;20;63
2017;1;18;9;0;0;64;19;60
2017;1;18;10;0.6;0;82;19;58
2017;1;18;11;2;0;95;16;54
2017;1;18;12;2.6;0;129;16;53
2017;1;18;13;3.1;0;106;17;49
2017;1;18;14;2.9;0;82;16;50
2017;1;18;15;1.9;0;40;17;53
2017;1;18;16;0.8;0;3;16;56
2017;1;18;17;0.4;0;0;17;58
2017;1;18;18;0;0;0;17;60
2017;1;18;19;-0.1;0;0;16;61
2017;1;18;20;-0.2;0;0;15;61
2017;1;18;21;-0.4;0;0;14;62
2017;1;18;22;-0.8;0;0;14;64
2017;1;18;23;-1.1;0;0;10;66
2017;1;19;0;-1.4;0;0;7;68
2017;1;19;1;-1.2;0;0;10;67
2017;1;19;2;-1.6;0;0;8;68
2017;1;19;3;-2.1;0;0;5;69
2017;1;19;4;-2.2;0;0;4;70
2017;1;19;5;-2.5;0;0;5;71
2017;1;19;6;-2.9;0;0;5;73
2017;1;19;7;-2.1;0;6;5;70
2017;1;19;8;-1;0;53;5;67
2017;1;19;9;1.7;0;100;9;58
2017;1;19;10;3.4;0;136;9;50
2017;1;19;11;4.9;0;151;10;48
2017;1;19;12;5.8;0;146;8;45
2017;1;19;13;6.4;0;120;8;45
2017;1;19;14;6.2;0;86;7;47
2017;1;19;15;4.3;0;24;7;51
2017;1;19;16;2.5;0;2;2;57
2017;1;19;17;-0.2;0;0;1;69
2017;1;19;18;-1.8;0;0;0;76
2017;1;19;19;-1.3;0;0;2;74
2017;1;19;20;-2;0;0;2;78
2017;1;19;21;-3;0;0;0;82
2017;1;19;22;-1.7;0;0;2;76
2017;1;19;23;-2.6;0;0;3;80
2017;1;20;0;-2;0;0;2;78
2017;1;20;1;-2.3;0;0;2;79
2017;1;20;2;-2.9;0;0;2;81
2017;1;20;3;-4;0;0;1;87
2017;1;20;4;-3;0;0;2;82
2017;1;20;5;-4.3;0;0;3;85
2017;1;20;6;-5.2;0;0;1;92
2017;1;20;7;-2.6;0;8;2;84
2017;1;20;8;-1.2;0;61;5;77
2017;1;20;9;0.5;0;103;6;72
2017;1;20;10;2.8;0;133;6;64
2017;1;20;11;5.1;0;153;6;57
2017;1;20;12;6.8;0;152;5;53
2017;1;20;13;7.7;0;127;6;51
2017;1;20;14;8.5;0;89;9;48
2017;1;20;15;7.9;0;44;7;51
2017;1;20;16;6;0;6;3;57
2017;1;20;17;4.5;0;0;5;61
2017;1;20;18;3.2;0;0;5;64
2017;1;20;19;2.4;0;0;5;68
2017;1;20;20;2.8;0;0;8;67
2017;1;20;21;2.7;0;0;6;68
2017;1;20;22;2.6;0;0;6;70
2017;1;20;23;2.2;0;0;4;72
2017;1;21;0;1.4;0;0;4;74
2017;1;21;1;0.9;0;0;5;76
2017;1;21;2;0;0;0;2;81
2017;1;21;3;-1.5;0;0;2;85
2017;1;21;4;-2;0;0;1;87
2017;1;21;5;-2.6;0;0;1;92
2017;1;21;6;-3.3;0;0;0;94
2017;1;21;7;-1;0;14;2;89
2017;1;21;8;1.9;0;61;5;73
2017;1;21;9;3.7;0;95;6;67
2017;1;21;10;5;0;116;6;62
2017;1;21;11;6.6;0;134;8;56
2017;1;21;12;8.1;0;145;8;51
2017;1;21;13;9.2;0;124;7;46
2017;1;21;14;9.6;0;91;7;46
2017;1;21;15;8.9;0;40;6;41
2017;1;21;16;6.4;0;3;4;50
2017;1;21;17;5.3;0;0;9;56
2017;1;21;18;4.6;0;0;6;59
2017;1;21;19;3.8;0;0;6;62
2017;1;21;20;4.1;0;0;8;60
2017;1;21;21;3.9;0;0;8;59
2017;1;21;22;4;0;0;10;58
2017;1;21;23;2.5;0;0;4;65
2017;1;22;0;1.6;0;0;3;70
2017;1;22;1;-0.1;0;0;1;79
2017;1;22;2;0.7;0;0;1;76
2017;1;22;3;0.6;0;0;6;75
2017;1;22;4;1.4;0;0;5;73
2017;1;22;5;1.2;0;0;3;76
2017;1;22;6;1.7;0;0;5;75
2017;1;22;7;2.1;0;2;6;74
2017;1;22;8;2.8;0;7;3;68
2017;1;22;9;3.1;0;17;5;67
2017;1;22;10;3.5;0;26;5;68
2017;1;22;11;3.7;0;32;6;67
2017;1;22;12;4;0;22;8;65
2017;1;22;13;4.9;0;58;8;63
2017;1;22;14;4.6;0;39;10;63
2017;1;22;15;3.5;0;8;6;77
2017;1;22;16;2.8;1;0;4;92
2017;1;22;17;2.7;1;0;6;91
2017;1;22;18;2.6;0;0;5;88
2017;1;22;19;2.8;0.5;0;5;86
2017;1;22;20;2.5;0.5;0;4;88
2017;1;22;21;2.7;0;0;4;85
2017;1;22;22;3.1;0;0;2;80
2017;1;22;23;3.6;0;0;6;73
2017;1;23;0;3.6;0;0;5;72
2017;1;23;1;3.4;0;0;4;69
2017;1;23;2;3.3;0;0;3;70
2017;1;23;3;3.1;0;0;5;69
2017;1;23;4;2.9;0;0;3;69
2017;1;23;5;2.6;0;0;4;70
2017;1;23;6;2.4;0;0;5;73
2017;1;23;7;2.5;0;2;5;71
2017;1;23;8;2.9;0;12;7;70
2017;1;23;9;3.5;0;39;6;67
2017;1;23;10;5.3;0;88;8;64
2017;1;23;11;6;0;143;11;60
2017;1;23;12;7.1;0;103;9;55
2017;1;23;13;7.3;0;85;10;51
2017;1;23;14;7.6;0;59;11;49
2017;1;23;15;6.8;0;36;13;46
2017;1;23;16;5.5;0;5;12;48
2017;1;23;17;5.1;0;0;14;47
2017;1;23;18;3.8;0;0;12;55
2017;1;23;19;3.7;0;0;15;54
2017;1;23;20;3.2;0;0;14;55
2017;1;23;21;2.9;0;0;17;56
2017;1;23;22;2.2;0;0;17;59
2017;1;23;23;1.7;0;0;17;61
2017;1;24;0;1.5;0;0;16;62
2017;1;24;1;1.3;0;0;16;62
2017;1;24;2;1.1;0;0;18;62
2017;1;24;3;0.6;0;0;17;64
2017;1;24;4;0.3;0;0;17;66
