Year;Month;Day;Tmin;Tmax;Tmean;Rain;Radiation;Humidity;UN;UX;ETPP;Wind
1991;7;10;14.4;31.4;22.9;0;2820;64.5;34;95;6;1.7
1991;7;11;15.4;33;24.2;0;2790;70;40;100;6.1;1.9
1991;7;12;18;29.8;23.9;0;1840;74;60;88;4.3;1.5
1991;7;13;16.4;28.7;22.5;7.5;2490;63.5;38;89;5.4;1.7
1991;7;14;14.6;24.7;19.7;0;2040;78.5;58;99;4.5;2.8
1991;7;15;13;27.3;20.1;0;2710;73;49;97;5.3;1.7
1991;7;16;12.3;27.8;20;0;2610;76;53;99;4.9;1.1
1991;7;17;15.1;27.1;21.1;0;1840;68;50;86;4.4;1.8
1991;7;18;10.6;29.5;20;0;2260;67.5;41;94;4.6;1.9
1991;7;19;18.6;27.6;23.1;0;1500;72;50;94;4.3;2.3
1991;7;20;11.1;27.4;19.2;0;2520;72.5;49;96;4.7;1.7
1991;7;21;10.5;25.6;18;0;2660;72.5;51;94;4.8;1.7
1991;7;22;13.2;28.3;20.8;0;2750;67;46;88;5.6;2.2
1991;7;23;12.3;31.3;21.8;0;2170;65;42;88;4.7;1.8
1991;7;24;17.7;23.6;20.7;0;1590;68.5;48;89;4.6;3.4
1991;7;25;10.9;18.9;14.9;6.5;1120;82.5;65;100;2.4;2.4
1991;7;26;13.1;20.7;16.9;0.5;1440;81.5;63;100;3.1;2.4
1991;7;27;9.7;24.5;17.1;0;2010;77.5;56;99;3.6;1.5
1991;7;28;12.5;26.3;19.4;0;2690;72;49;95;5.4;3.1
1991;7;29;11.4;31.2;21.3;0;2630;66;40;92;5.3;1.7
1991;7;30;16;26.6;21.3;9;1170;80.5;61;100;3.1;1.8
1991;7;31;12.2;22.9;17.5;2;1770;70;40;100;3.6;1.4
1991;8;1;11.6;22.3;17;0.5;890;74;54;94;2.3;1.1
1991;8;2;14.1;25.8;20;0;1780;61;33;89;4.1;1.8
1991;8;3;14.1;28.4;21.2;0;2380;50.5;18;83;5.6;2.5
1991;8;4;16.2;29;22.6;0;2390;44;21;67;5.7;2.1
1991;8;5;14.6;29.7;22.2;0;2250;49;21;77;5.1;1.6
1991;8;6;13.9;32.5;23.2;0;2480;61;34;88;5.4;1.7
1991;8;7;16;33.7;24.9;24;1950;61.5;35;88;5.9;2.6
1991;8;8;17.1;23.4;20.2;0;1270;79.5;65;94;3.7;5
1991;8;9;16.3;25.7;21;0;1560;71.5;54;89;4.4;3.9
1991;8;10;15.1;28.6;21.9;0;2470;54;25;83;5.7;2.7
1991;8;11;15;31.7;23.4;0;2430;68;39;97;5;1.2
1991;8;12;17.9;31.4;24.6;0;2170;63;34;92;5.3;2.1
1991;8;13;13.6;28.8;21.2;0;2220;66.5;37;96;4.5;1.6
1991;8;14;13.5;29.1;21.3;0;2140;58.5;27;90;4.4;1.4
1991;8;15;14.8;30.2;22.5;0;2050;58.5;32;85;4.4;1.3
1991;8;16;15.8;28.8;22.3;0;2400;55;19;91;5.4;2.2
1991;8;17;13.8;28.1;21;0;1730;63;37;89;4.1;2
1991;8;18;12.2;24.1;18.1;0;2170;61.5;31;92;4.4;2.2
1991;8;19;11.5;24.5;18;0;2370;51;24;78;4.8;2.4
1991;8;20;9.7;26.9;18.3;0;2310;51;24;78;4.4;1.7
1991;8;21;11.6;29.8;20.7;0;2320;50.5;23;78;4.6;1.4
1991;8;22;11.4;30.5;21;23.5;1560;66;32;100;3.9;2.6
1991;8;23;16.1;24.7;20.4;0;1770;78.5;58;99;3.5;1.6
1991;8;24;15.3;26;20.6;0;1700;70;45;95;3.7;1.7
1991;8;25;15.8;28.1;22;0;2090;59.5;37;82;4.9;2.7
1991;8;26;14.7;29.1;21.9;0;2190;56.5;30;83;4.8;2.3
1991;8;27;14;27.4;20.7;0;2230;55.5;33;78;5.2;3.3
1991;8;28;14.4;26.9;20.6;0;2140;50.5;29;72;5.1;3.1
1991;8;29;13.6;26.6;20.1;0;2140;52;29;75;5.1;3.5
1991;8;30;11.9;27.1;19.5;0;2210;44.5;22;67;4.8;2.6
1991;8;31;12.4;30.2;21.3;0;1990;57;36;78;4;1.3
1991;9;1;15.9;21.2;18.5;5;410;85;70;100;1.3;2.1
1991;9;2;14.8;23;18.9;0;1410;82;64;100;2.5;0.9
1991;9;3;12.7;27.8;20.2;0;1990;69.5;39;100;3.5;1.1
1991;9;4;12.9;29.1;21;0;1940;60;30;90;3.8;1.3
1991;9;5;12.7;28.9;20.8;0;1870;57.5;29;86;3.7;1.2
1991;9;6;13.3;25.7;19.5;0;1950;60;38;82;4.3;3.1
1991;9;7;10.5;21.6;16;0;2040;58;33;83;4.4;4
1991;9;8;10;23.6;16.8;0;2100;53;30;76;4.4;3.6
1991;9;9;9;26;17.5;0;1980;56.5;28;85;3.5;1.6
1991;9;10;9.1;26.7;17.9;1.5;1320;63;40;86;2.8;2
1991;9;11;15.8;26.2;21;7.5;1340;74;51;97;3;2.5
1991;9;12;15.4;19.9;17.6;0;690;91.5;83;100;1.5;2.4
1991;9;13;13.5;22.5;18;0;1370;74;55;93;2.9;2.6
1991;9;14;9.8;22.5;16.1;0;1740;77;54;100;2.6;1.5
1991;9;15;7.3;24;15.6;0;1490;70;40;100;2.2;0.7
1991;9;16;9.8;25.9;17.9;0;1430;73.5;47;100;2.4;1
1991;9;17;16.6;23.6;20.1;0;1090;67;49;85;2.9;2.2
1991;9;18;8.2;25.3;16.8;0;1820;61;30;92;2.9;1.3
1991;9;19;9.1;24.7;16.9;0;1670;62.5;36;89;2.7;1.2
1991;9;20;11;25.5;18.2;0;1540;63.5;38;89;2.7;1.1
1991;9;21;12.9;27.6;20.2;0;1460;67.5;48;87;3;2.2
1991;9;22;16.3;26.1;21.2;16.5;1010;74.5;49;100;3.1;3.4
1991;9;23;10;16.8;13.4;0;980;76.5;56;97;1.7;2.2
1991;9;24;11.4;19.2;15.3;0;870;88;76;100;1.5;1.9
1991;9;25;10.2;23.3;16.8;54.5;930;81;62;100;1.7;2.4
1991;9;26;13;14.6;13.8;9.5;410;94.5;89;100;0.9;2.2
1991;9;27;9.7;14.1;11.9;6;820;85.5;71;100;1.5;2.7
1991;9;28;7.7;16.9;12.3;33.5;810;83;66;100;1.4;3.6
1991;9;29;10.8;11.9;11.4;26;180;97.5;95;100;0.1;2
1991;9;30;7.7;16.8;12.2;2.5;860;91;82;100;1;1.3
1991;10;1;6.4;16.5;11.4;0.5;830;84.5;69;100;1;2.5
1991;10;2;10.7;16.6;13.6;0;1180;73.5;50;97;1.8;1.5
1991;10;3;5.1;18.2;11.7;0;1540;73;48;98;1.6;1.1
1991;10;4;4.8;19.3;12;0.5;1490;77.5;55;100;1.5;0.9
1991;10;5;5.9;18.4;12.1;23;710;87.5;75;100;0.9;1.5
1991;10;6;9.7;12.7;11.2;3;600;86.5;73;100;1.1;3.4
1991;10;7;9.5;12.7;11.1;0;320;94;88;100;0.6;1.7
1991;10;8;8;13.7;10.9;0.5;610;92;84;100;0.8;0.8
1991;10;9;4.1;17.2;10.7;0.5;830;85;70;100;0.8;0.9
1991;10;10;10;21.9;15.9;0;1100;81.5;63;100;1.6;2
1991;10;11;11.2;15;13.1;12;110;90;80;100;0.2;2
1991;10;12;11.1;14.3;12.7;3;290;91;82;100;0.5;0.8
