Year	Month	Day	Tmin	Tmax	Radiation	Rain	Humidity	Wind	UN	UX	-CO2	ETPP
1991	7	5	16.1	33.6	2740	0	69.5	1.7	42	97	-999	6.2
1991	7	6	15.4	29.3	2560	0	70	2.3	52	88	-999	5.6
1991	7	7	16.8	28.9	1970	61	82	2.1	65	99	-999	4.4
1991	7	8	14.3	27.5	2240	0	72.5	1.8	45	100	-999	4.5
1991	7	9	16.9	28	2310	1	70.5	1.2	46	95	-999	5
1991	7	10	14.4	31.4	2820	0	64.5	1.7	34	95	-999	6
1991	7	11	15.4	33	2790	0	70	1.9	40	100	-999	6.1
1991	7	12	18	29.8	1840	0	74	1.5	60	88	-999	4.3
1991	7	13	16.4	28.7	2490	7.5	63.5	1.7	38	89	-999	5.4
1991	7	14	14.6	24.7	2040	0	78.5	2.8	58	99	-999	4.5
1991	7	15	13	27.3	2710	0	73	1.7	49	97	-999	5.3
1991	7	16	12.3	27.8	2610	0	76	1.1	53	99	-999	4.9
1991	7	17	15.1	27.1	1840	0	68	1.8	50	86	-999	4.4
1991	7	18	10.6	29.5	2260	0	67.5	1.9	41	94	-999	4.6
1991	7	19	18.6	27.6	1500	0	72	2.3	50	94	-999	4.3
1991	7	20	11.1	27.4	2520	0	72.5	1.7	49	96	-999	4.7
1991	7	21	10.5	25.6	2660	0	72.5	1.7	51	94	-999	4.8
1991	7	22	13.2	28.3	2750	0	67	2.2	46	88	-999	5.6
1991	7	23	12.3	31.3	2170	0	65	1.8	42	88	-999	4.7
1991	7	24	17.7	23.6	1590	0	68.5	3.4	48	89	-999	4.6
1991	7	25	10.9	18.9	1120	6.5	82.5	2.4	65	100	-999	2.4
1991	7	26	13.1	20.7	1440	0.5	81.5	2.4	63	100	-999	3.1
1991	7	27	9.7	24.5	2010	0	77.5	1.5	56	99	-999	3.6
1991	7	28	12.5	26.3	2690	0	72	3.1	49	95	-999	5.4
1991	7	29	11.4	31.2	2630	0	66	1.7	40	92	-999	5.3
1991	7	30	16	26.6	1170	9	80.5	1.8	61	100	-999	3.1
1991	7	31	12.2	22.9	1770	2	70	1.4	40	100	-999	3.6
1991	8	1	11.6	22.3	890	0.5	74	1.1	54	94	-999	2.3
1991	8	2	14.1	25.8	1780	0	61	1.8	33	89	-999	4.1
1991	8	3	14.1	28.4	2380	0	50.5	2.5	18	83	-999	5.6
1991	8	4	16.2	29	2390	0	44	2.1	21	67	-999	5.7
1991	8	5	14.6	29.7	2250	0	49	1.6	21	77	-999	5.1
1991	8	6	13.9	32.5	2480	0	61	1.7	34	88	-999	5.4
1991	8	7	16	33.7	1950	24	61.5	2.6	35	88	-999	5.9
1991	8	8	17.1	23.4	1270	0	79.5	5	65	94	-999	3.7
1991	8	9	16.3	25.7	1560	0	71.5	3.9	54	89	-999	4.4
