year	month	day	tmin	tmean	tmax	radiation	rain	UM	wind	UN	UX	CO2	ETP
2017	5	27	9.4	14.9	20.4	2679	0	63	2.8	35	90	-999	5
2017	5	28	9.5	17.35	25.2	2893	0	61	1.7	40	88	-999	5.2
2017	5	29	11.2	19.6	28	3053	0	62	1.1	35	90	-999	5.6
2017	5	30	13.2	20.25	27.3	3022	0	65	3.5	39	93	-999	6.5
2017	5	31	16.3	21	25.7	2241	0	69	2.1	46	87	-999	5
2017	6	1	15.3	20.8	26.3	2979	0	58	2.6	35	85	-999	6.4
2017	6	2	13.6	20.6	27.6	2727	0	58	1.9	32	85	-999	5.7
2017	6	3	13	20.75	28.5	3012	0	56	1.1	26	93	-999	5.8
2017	6	4	13	20.45	27.9	2689	0.5	57	1.4	28	91	-999	5.4
2017	6	5	15.9	20.2	24.5	1387	17	79	2.1	52	95	-999	3.6
2017	6	6	13.4	17.3	21.2	1960	6	81	1.6	49	97	-999	3.8
2017	6	7	13.6	17.85	22.1	1953	0	71	1.5	46	95	-999	4
2017	6	8	12.8	18.05	23.3	1969	4	79	2.6	58	95	-999	4.1
2017	6	9	11.9	17.45	23	2108	0.5	71	1.6	43	98	-999	4.1
2017	6	10	14.6	21.35	28.1	2629	0	67	2.3	33	93	-999	5.8
2017	6	11	16.9	19.35	21.8	672	0	81	1.2	65	98	-999	2
2017	6	12	12.3	20.15	28	2989	0	71	0.8	41	100	-999	5.5
2017	6	13	13.9	23.25	32.6	2973	0	64	2	36	100	-999	6.5
2017	6	14	17.1	22.75	28.4	1796	0	78	1.2	57	95	-999	4.1
2017	6	15	20.1	22.7	25.3	1086	1	80	2.5	62	90	-999	3.2
2017	6	16	16.3	20.3	24.3	1995	0	65	1.6	44	83	-999	4.5
2017	6	17	18	23.95	29.9	1930	0.5	69	1.3	47	87	-999	4.7
2017	6	18	18.9	24.95	31	2585	0	71	1.3	48	91	-999	5.8
2017	6	19	18.6	20	21.4	588	1	80	2.4	68	90	-999	2
2017	6	20	14.5	18.8	23.1	2765	0	55	3.6	36	78	-999	6.4
2017	6	21	12.7	17.7	22.7	2308	0	59	2.6	42	82	-999	5.1
2017	6	22	11.9	18.3	24.7	2914	0	55	2.3	37	84	-999	5.8
2017	6	23	9.7	17.75	25.8	3155	0	52	1.4	30	88	-999	5.7
2017	6	24	10.5	19.45	28.4	3062	0	57	1.2	25	90	-999	5.7
2017	6	25	14.4	20.25	26.1	2037	0	70	1.5	44	90	-999	4.4
2017	6	26	16.2	20.9	25.6	1823	4.5	70	2	47	94	-999	4.3
2017	6	27	16	22.05	28.1	2900	0	63	1.3	33	93	-999	6
2017	6	28	13.8	23.15	32.5	2940	0	57	1.2	28	97	-999	6.1
2017	6	29	18.6	25.6	32.6	2265	0	63	1.1	33	90	-999	5.4
2017	6	30	17.4	25.75	34.1	2535	0	58	0.9	29	92	-999	5.8
2017	7	1	19.2	26.8	34.4	2892	0	57	1.2	28	86	-999	6.7
2017	7	2	19.9	23.4	26.9	1251	3	77	1.4	52	93	-999	3.3
2017	7	3	19.1	24.75	30.4	2232	2	74	1.1	47	98	-999	5.1
2017	7	4	19.3	23.75	28.2	1755	4.5	81	1.5	46	100	-999	4.2
2017	7	5	19.1	23.85	28.6	2173	0	71	2	49	94	-999	5.3
2017	7	6	16.2	21.15	26.1	2044	0.5	69	1.9	47	92	-999	4.6
2017	7	7	17	20	23	1349	0	70	2.6	49	87	-999	3.8
2017	7	8	14.4	19.5	24.6	1993	0	62	2.1	44	85	-999	4.6
2017	7	9	15.9	20.45	25	2367	0	57	2.3	37	78	-999	5.5
2017	7	10	14.5	19.7	24.9	2483	0	59	1.9	42	84	-999	5.3
2017	7	11	11	20.55	30.1	2946	0	61	0.8	31	95	-999	5.5
2017	7	12	14.4	22.95	31.5	2857	0	63	0.9	32	89	-999	5.8
2017	7	13	19.7	25	30.3	2499	0	75	3.8	53	93	-999	6.4
2017	7	14	18.7	20.2	21.7	430	5	89	1.4	80	97	-999	1.1
2017	7	15	19.1	24.65	30.2	2217	0	65	0.9	44	90	-999	5
2017	7	16	16.9	24.5	32.1	2802	7	75	3.2	47	97	-999	6.6
2017	7	17	14.3	17.05	19.8	817	2	81	2.7	53	95	-999	2.3
2017	7	18	13.7	18.7	23.7	1956	0	64	2.6	41	86	-999	4.6
2017	7	19	11.9	19.35	26.8	2197	0	66	0.9	43	91	-999	4.3
2017	7	20	13.4	22.25	31.1	2716	4	67	2.3	36	97	-999	5.9
2017	7	21	17.4	23.85	30.3	2815	0	73	5	49	95	-999	7.1
2017	7	22	20.7	25.75	30.8	2191	0	71	4.2	51	86	-999	6.3
2017	7	23	20.8	25.75	30.7	1684	0	63	2.3	38	87	-999	5.1
2017	7	24	16.1	22.25	28.4	2246	0	59	2.3	41	86	-999	5.4
2017	7	25	15	20.65	26.3	2855	0	60	1.5	32	88	-999	5.6
2017	7	26	11.4	22.35	33.3	2842	0	54	1.2	22	94	-999	5.7
2017	7	27	19.6	22.75	25.9	1251	0	70	2.8	52	86	-999	4
2017	7	28	13.8	22.15	30.5	2769	0	64	0.8	34	95	-999	5.4
2017	7	29	13.9	23.65	33.4	2637	0	62	2.6	26	94	-999	6.2
2017	7	30	17.2	22.3	27.4	2089	0	62	1.9	41	83	-999	5
2017	7	31	12.7	21.85	31	2766	0	55	0.7	25	90	-999	5.3
2017	8	1	15.1	23.75	32.4	2511	4.5	70	2.1	40	94	-999	5.8
2017	8	2	16.4	19.95	23.5	1528	0.5	69	1.7	45	92	-999	3.6
2017	8	3	16.1	20.55	25	2017	0	68	1.4	40	95	-999	4.3
2017	8	4	11.6	21.25	30.9	2697	0	59	0.7	26	96	-999	5
2017	8	5	13.9	24.45	35	2664	0	52	1.2	24	94	-999	5.7
2017	8	6	19.4	25.5	31.6	2518	1	69	1.9	44	90	-999	5.9
2017	8	7	19.9	22	24.1	978	0.5	76	2.1	63	87	-999	2.9
2017	8	8	18	22.75	27.5	1677	1	68	1.7	50	83	-999	4.1
2017	8	9	18.1	19.95	21.8	734	0	84	1.9	72	95	-999	2.2
2017	8	10	15.9	21.9	27.9	2248	0	69	1.1	44	91	-999	4.6
2017	8	11	16.1	22.7	29.3	2417	0	63	1.4	38	92	-999	5.1
2017	8	12	14.8	22.7	30.6	2644	0	60	1.5	36	92	-999	5.4
2017	8	13	15.9	24.35	32.8	2595	0	58	1.4	30	87	-999	5.6
2017	8	14	18.8	26.65	34.5	2561	0	57	1	23	92	-999	5.7
2017	8	15	16	25.55	35.1	2530	0	56	3.1	33	88	-999	6.5
2017	8	16	18.8	27.55	36.3	2287	0	57	1.3	22	89	-999	5.6
2017	8	17	19.2	26.2	33.2	1994	0	67	1.7	40	90	-999	5
2017	8	18	21.8	28.5	35.2	2046	0	62	1.2	36	81	-999	5.2
2017	8	19	19.2	28.5	37.8	2415	0	51	2.6	27	83	-999	6.7
2017	8	20	23.4	28	32.6	2381	0	58	3.1	42	68	-999	6.7
2017	8	21	21.8	25.4	29	2113	0	58	2.7	42	76	-999	5.7
2017	8	22	16.7	23.35	30	2472	0	47	1.7	28	73	-999	5.4
2017	8	23	13	24.6	36.2	2427	0	46	1.7	20	85	-999	5.5
2017	8	24	22.1	24.65	27.2	964	13	70	2.8	51	92	-999	3.6
2017	8	25	18.8	19.95	21.1	420	3	90	1.5	76	95	-999	1.1
2017	8	26	16.5	23.6	30.7	2162	0.5	74	0.9	39	99	-999	4.4
2017	8	27	17.9	25.9	33.9	2045	0	68	1.1	25	94	-999	4.7
2017	8	28	20.8	23.3	25.8	776	0	71	2.6	57	81	-999	3.1
2017	8	29	13.9	19.3	24.7	2412	0	53	2.8	30	79	-999	5.1
2017	8	30	9.6	18.5	27.4	2414	0	52	1.3	15	91	-999	4.3
2017	8	31	9.5	20.3	31.1	2323	0	60	4.3	29	87	-999	5.5
2017	9	1	21.5	22.7	23.9	369	0	80	3.1	71	89	-999	1.9
2017	9	2	17.8	23.15	28.5	1817	0	68	1.1	49	89	-999	3.9
2017	9	3	17.9	20.8	23.7	813	0	73	1.8	55	91	-999	2.5
2017	9	4	14.2	19.95	25.7	1314	0.5	67	2.8	40	95	-999	3.7
2017	9	5	10.6	17.1	23.6	2274	0	55	1.9	31	84	-999	4.1
2017	9	6	7	18.45	29.9	2283	0	49	1.3	15	93	-999	4
2017	9	7	13.8	22.25	30.7	2215	0	49	3.2	30	74	-999	5.4
2017	9	8	16	23.25	30.5	2242	0	57	3.3	27	93	-999	5.6
2017	9	9	10.5	20.3	30.1	2081	0	58	1.1	24	91	-999	3.8
2017	9	10	16.3	23.15	30	1878	0	59	1.2	20	93	-999	4
2017	9	11	11.7	19.95	28.2	1941	0	58	1.2	35	87	-999	3.6
2017	9	12	11.8	20	28.2	1912	0	60	1.7	30	92	-999	3.8
2017	9	13	13.9	20.55	27.2	1845	0	64	1.9	41	88	-999	3.8
2017	9	14	14.5	18.8	23.1	1976	0	57	3.2	35	88	-999	4.4
2017	9	15	13.4	17.3	21.2	1332	0	56	2.1	40	72	-999	3.2
2017	9	16	8.5	15.6	22.7	1946	0	61	1.4	36	92	-999	3.1
2017	9	17	8.8	17.4	26	1976	0	62	1.8	31	94	-999	3.4
2017	9	18	17.6	20.9	24.2	1400	2	69	2.4	41	90	-999	3.6
2017	9	19	12.9	16.45	20	784	7	80	1.9	63	92	-999	1.9
2017	9	20	14.4	16.05	17.7	580	17	88	2.4	78	94	-999	1.5
2017	9	21	14.7	17.7	20.7	697	0.5	83	2.1	70	94	-999	1.7
2017	9	22	16	17.7	19.4	520	0	89	1.4	74	98	-999	1.4
2017	9	23	11.5	18.95	26.4	1333	0	85	0.8	50	99	-999	2.3
2017	9	24	12.2	19.65	27.1	1780	0	74	1.9	41	99	-999	3.1
2017	9	25	16.3	20.7	25.1	1545	0	72	1.9	42	90	-999	3.2
2017	9	26	12.7	18.6	24.5	1376	0	77	1	42	98	-999	2.5
2017	9	27	10.6	18.65	26.7	1554	0	72	1.2	43	96	-999	2.6
2017	9	28	10.9	19.2	27.5	1683	0.5	70	0.9	32	97	-999	2.7
2017	9	29	10.8	19.45	28.1	1699	0	67	0.8	31	95	-999	2.7
2017	9	30	11.3	19.75	28.2	1433	0	63	1	33	92	-999	2.6
2017	10	1	14.4	19.9	25.4	1320	0	66	2.1	39	90	-999	2.9
2017	10	2	15	18.65	22.3	1304	0	65	2.8	44	87	-999	3.1
2017	10	3	10.7	16.4	22.1	1654	0	69	1.3	42	91	-999	2.5
2017	10	4	6.2	15.7	25.2	1614	0	65	0.7	29	95	-999	2.2
2017	10	5	13.1	20.1	27.1	1554	0	68	4.6	46	87	-999	3.6
2017	10	6	19.9	23.9	27.9	1168	0	73	5.1	50	87	-999	4.1
2017	10	7	20.2	22.15	24.1	583	0	78	5.6	65	86	-999	2.8
2017	10	8	16.7	22.4	28.1	1211	8.5	79	1.9	45	93	-999	2.7
2017	10	9	15.9	19.05	22.2	1019	0	78	1.9	60	93	-999	2.1
2017	10	10	16	18.3	20.6	572	11	86	1.7	70	94	-999	1.5
2017	10	11	15.7	18.9	22.1	1139	1	82	2.2	59	94	-999	2.1
2017	10	12	15.7	17.9	20.1	1109	0.5	72	3.5	45	95	-999	2.9
2017	10	13	5.8	11.55	17.3	1527	0	68	1.4	39	94	-999	1.7
2017	10	14	5.7	11.6	17.5	1505	0	64	1.7	38	89	-999	1.8
2017	10	15	2.7	7.95	13.2	1553	0	57	2.2	29	91	-999	1.9
